問題編號,問題,答案編號,回答內容,來源工作表
PC168,寵物保健食品需要吃嗎？,PCA168,是否需要保健品應依健康狀況與飲食營養而定，例如關節保健品（葡萄糖胺、軟骨素）適合老年或大型犬；魚油可幫助皮膚與毛髮健康；益生菌有助腸道；但須選擇專為寵物設計且經獸醫建議的產品，避免過量或不當使用。,寵物健康檢查與保健
PC169,體重控制為什麼很重要？,PCA169,過重或過瘦都會影響健康，肥胖會增加關節、心肺與糖尿病的風險，過瘦則可能表示營養不足或有疾病。應透過控制飲食與增加運動來維持理想體態，並定期量體重追蹤。,寵物健康檢查與保健
PC170,有哪些疾病是健康檢查能提早發現的？,PCA170,常見可提早發現的疾病包括慢性腎病、肝功能異常、糖尿病、甲狀腺功能異常、心臟病、腫瘤，以及寄生蟲感染。提早診斷意味著能更早介入治療，延緩病情惡化。,寵物健康檢查與保健
PC171,如何讓寵物適應健康檢查？,PCA171,可在平時訓練牠接受簡單的身體觸碰（看牙齒、摸耳朵、檢查爪子），搭配零食獎勵，讓牠對檢查動作不害怕；外出前帶牠熟悉運輸籠或牽繩，並保持就診過程的耐心與安撫。,寵物健康檢查與保健
PC172,寵物需要固定餵食時間嗎？,PCA172,是的，固定餵食時間能幫助維持良好的腸胃規律與行為穩定。幼犬幼貓通常需要一天 3–4 餐，成年犬貓則可調整為一天 1–2 餐。固定餵食也能幫助飼主觀察食慾變化，及早發現健康問題。,寵物飲食與營養管理
PC173,乾糧與罐頭哪個比較好？,PCA173,乾糧保存方便，能幫助磨牙與減少牙垢；罐頭含水量高，能增加水分攝取並對偏食寵物更有吸引力。最佳做法是依需求混合餵食，例如以乾糧為主，搭配部分罐頭或鮮食，達到營養與水分的平衡。,寵物飲食與營養管理
PC174,寵物可以吃人類的食物嗎？,PCA174,不建議。許多人類食物對寵物有毒或難以消化，例如巧克力、葡萄、洋蔥、大蒜、木糖醇、酒精等都可能致命。即使是安全食材，也需注意烹調方式（不能油炸、調味）與份量控制，避免造成肥胖與消化不良。,寵物飲食與營養管理
PC175,怎麼判斷飼料是否優質？,PCA175,要查看成分表，優質飼料應以動物性蛋白（如雞肉、魚肉）為主要原料，避免以大量穀物或副產品為主。營養比例要符合 AAFCO 或 FEDIAF 標準，並且不含過多人工色素、香料或防腐劑。,寵物飲食與營養管理
PC176,幼犬幼貓的飲食需要特別注意什麼？,PCA176,幼年期是快速成長階段，需要高蛋白、高熱量與鈣磷比例均衡的專用飼料，幫助骨骼與免疫系統發育。切勿餵成年寵物飼料，以免營養不足影響生長。,寵物飲食與營養管理
PC177,老年寵物的飲食要怎麼調整？,PCA177,老年寵物活動量下降，容易肥胖且器官功能逐漸退化，因此飲食應選擇低熱量、高纖維、易消化的配方，並增加含關節保護或腎臟支持的營養素（如葡萄糖胺、Omega-3 脂肪酸）。,寵物飲食與營養管理
PC178,寵物需要補鈣或維生素嗎？,PCA178,若食用的是完整均衡的商業飼料，通常不需額外補充。若是自製鮮食，營養比例可能不均衡，則建議在獸醫指導下補充鈣質、維生素或微量元素，以避免骨骼問題或免疫力不足。,寵物飲食與營養管理
PC179,寵物喝牛奶可以嗎？,PCA179,多數成年貓狗缺乏乳糖酶，喝牛奶容易造成腹瀉與腸胃不適。市面上有專為寵物設計的低乳糖或無乳糖寵物奶粉，才適合用來補充。幼年期的寵物若需要人工哺乳，必須使用專用奶粉。,寵物飲食與營養管理
PC180,肥胖寵物該怎麼飲食控制？,PCA180,應選擇低熱量配方，並以「計算每日熱量需求」為基準分餐餵食，避免隨意投餵零食；可用益智食物球延長進食時間，讓寵物邊玩邊吃，減少暴食情況。同時需搭配規律運動，達到健康減重的效果。,寵物飲食與營養管理
PC181,如何確保寵物攝取足夠水分？,PCA181,狗狗通常會自行飲水，但貓咪常喝得不足。建議在家中多處放置水碗，並保持水源乾淨；部分貓咪喜歡流動水，可使用飲水機；若仍攝水不足，可增加罐頭、鮮食或在乾糧中拌水，預防泌尿與腎臟疾病。,寵物飲食與營養管理
PC182,寵物會感到孤單嗎？,PCA182,會。狗狗通常需要較多陪伴，長時間單獨在家容易產生分離焦慮；貓咪雖較獨立，但若缺乏互動也可能感到孤單，導致行為問題或情緒低落。,寵物心理與情緒照護
PC183,怎麼判斷寵物是否有壓力？,PCA183,常見壓力表現包括食慾下降、頻繁舔毛、躲藏、異常吠叫或排泄行為。需觀察是否持續發生並找出壓力來源，例如環境變化、噪音或缺乏陪伴。,寵物心理與情緒照護
PC184,寵物會得憂鬱症嗎？,PCA184,是的，長期孤單、失去同伴或重大生活改變可能導致寵物出現憂鬱症狀，如嗜睡、無精打采、失去興趣。這需要透過增加互動、提供刺激，甚至醫師建議下使用藥物來改善。,寵物心理與情緒照護
PC185,如何安撫焦慮的狗狗？,PCA185,可透過規律作息、使用安撫玩具、播放輕音樂、提供隱蔽安全的小空間幫助減壓；若是分離焦慮，需循序漸進讓牠適應獨處。,寵物心理與情緒照護
PC186,貓咪為什麼喜歡躲起來？,PCA186,躲藏是貓咪的本能，能讓牠感到安全。但若過度躲藏且伴隨食慾下降或活動減少，可能是壓力或生病的訊號，需要進一步觀察與檢查。,寵物心理與情緒照護
PC187,如何幫助寵物適應新環境？,PCA187,應逐步引導，不要一次讓牠接觸整個新環境。先提供一個安靜的小空間，裡面放熟悉的毯子或玩具，等牠穩定後再擴展活動範圍。,寵物心理與情緒照護
PC188,寵物會嫉妒嗎？,PCA188,會。當飼主對其他人或動物給予更多注意時，寵物可能表現出黏人、吠叫或破壞行為。應公平對待，並在互動時給予牠足夠的安全感。,寵物心理與情緒照護
PC189,怎麼避免寵物無聊？,PCA189,提供益智玩具、食物隱藏遊戲、定期更換玩具，並安排日常活動與訓練。對狗狗來說，戶外運動與嗅聞活動能大幅降低無聊感。,寵物心理與情緒照護
PC190,寵物會感受到飼主的情緒嗎？,PCA190,會。研究顯示寵物能透過聲音、表情與肢體語言感受飼主情緒，當飼主焦慮或憂鬱時，寵物也可能出現相應的緊張行為。,寵物心理與情緒照護
PC191,怎麼與寵物建立更好的情感連結？,PCA191,透過日常陪伴、規律的互動、溫柔的撫摸與正向獎勵，讓寵物覺得與飼主相處是安全且愉快的；避免打罵與忽視，因為信任是逐步累積的。,寵物心理與情緒照護
PC192,家中有哪些東西對寵物有毒？,PCA192,常見有毒食物包括巧克力、洋蔥、大蒜、葡萄、木糖醇、酒精；常見有毒植物包括百合、杜鵑、聖誕紅、滴水觀音；清潔劑、殺蟲劑、藥物等也非常危險。應將這些物品妥善收納，避免寵物誤食。,寵物居家安全與防護
PC193,如何防止寵物咬電線？,PCA193,電線應收納於防咬管內或固定在牆角，避免外露；可在電線表面噴灑苦味劑降低咬的慾望，並提供適合的咬咬玩具滿足咀嚼需求。若發現有觸電風險，務必立即檢查環境並更換受損線材。,寵物居家安全與防護
PC194,陽台或窗戶對寵物有危險嗎？,PCA194,是的，貓狗都有可能因追逐或好奇而墜落。建議安裝防護網或堅固的紗窗，並避免在窗邊放置可攀爬的家具，降低危險。,寵物居家安全與防護
PC195,寵物會誤食小物品嗎？,PCA195,會。鈕扣、橡皮筋、塑膠袋、髮圈、玩具零件都有可能被誤食，造成腸道阻塞。建議避免將這些小物品放在地面或寵物可觸及的地方。,寵物居家安全與防護
PC196,如何避免寵物接觸化學清潔劑？,PCA196,清潔劑與殺蟲劑應放在高處或鎖櫃內，使用後確保地板完全乾燥再讓寵物進入。若不慎接觸，應立即以大量清水沖洗並送醫。,寵物居家安全與防護
PC197,廚房對寵物來說危險嗎？,PCA197,是的，廚房有熱爐、油鍋、刀具與容易掉落的食物。建議用防護門隔離廚房，或在烹飪時避免寵物進入，降低燙傷與誤食風險。,寵物居家安全與防護
PC198,家具需要特別注意嗎？,PCA198,需要。尖角家具容易造成撞傷，可用護角套保護；搖晃不穩的櫃子應固定在牆上，避免寵物攀爬時傾倒；玻璃桌面應使用防滑墊避免碎裂。,寵物居家安全與防護
PC199,如何讓寵物在家裡有安全活動空間？,PCA199,應提供一個專屬區域，放置食盆、水碗、床墊與玩具，避免危險物品接觸，讓寵物能自由活動又安全。對於幼犬幼貓，可用圍欄或籠子限制活動範圍。,寵物居家安全與防護
PC200,發生居家意外時該怎麼處理？,PCA200,第一步先保持冷靜，評估傷勢並立即進行簡單急救（如止血、沖洗），同時盡快聯絡獸醫或送醫。日常應該把附近的動物醫院與急診電話記下來，遇到緊急狀況才能迅速行動。,寵物居家安全與防護
PC201,狗狗最常見的傳染病有哪些？,PCA201,狗狗常見的傳染病包括犬瘟熱、犬細小病毒、犬傳染性肝炎與狂犬病，這些疾病多數致死率高且傳染力強，因此定期接種疫苗是最有效的預防方式。,寵物常見疾病與預防
PC202,貓咪最常見的傳染病有哪些？,PCA202,貓咪常見的傳染病包括貓瘟（泛白血球減少症）、貓皰疹病毒、貓杯狀病毒、貓白血病與狂犬病。其中部分可透過疫苗預防，飼主應依獸醫建議完成接種。,寵物常見疾病與預防
PC203,牙周病為什麼在寵物中很常見？,PCA203,牙周病是因為牙菌斑與牙石累積導致牙齦發炎、口臭，嚴重時甚至造成牙齒脫落與細菌入血影響心臟與腎臟。因多數飼主忽略刷牙與口腔保健，所以牙周病成為犬貓最常見的慢性疾病之一。,寵物常見疾病與預防
PC204,寵物肥胖會引起哪些問題？,PCA204,肥胖會增加關節炎、糖尿病、呼吸困難、心臟病與肝臟疾病的風險，還會縮短壽命。最有效的預防方式是控制飲食熱量、避免過量零食，並搭配適度運動維持理想體態。,寵物常見疾病與預防
PC205,貓咪為什麼常得泌尿系統疾病？,PCA205,貓咪天生飲水量低，容易導致尿液濃縮，進而產生膀胱炎、尿結晶或泌尿阻塞。預防方法包括增加水源數量、提供流動飲水器，以及餵食含水量高的罐頭或鮮食。,寵物常見疾病與預防
PC206,心絲蟲是什麼？狗貓都會得嗎？,PCA206,心絲蟲是蚊子傳播的寄生蟲，會寄生在心臟與肺動脈，導致心肺衰竭甚至死亡。狗狗感染率最高，但貓咪也可能感染。預防方式是定期使用心絲蟲預防藥物（口服或滴劑），尤其在蚊蟲活躍季節更要確實投藥。,寵物常見疾病與預防
PC207,腎臟病為什麼在貓咪特別常見？,PCA207,貓咪腎臟對水分濃縮的負擔大，長期下來容易造成慢性腎衰竭。此病通常在老年期出現，初期症狀不明顯。定期健康檢查、充足飲水與均衡飲食是最佳預防方式。,寵物常見疾病與預防
PC208,跳蚤與壁蝨會造成什麼影響？,PCA208,跳蚤會引起皮膚過敏、貧血與絛蟲感染，壁蝨則可能傳播萊姆病或巴貝西蟲等血液寄生蟲。預防方式是定期使用驅蟲藥、保持環境清潔、避免草叢長時間停留。,寵物常見疾病與預防
PC209,哪些疾病是可以透過疫苗完全避免的？,PCA209,狂犬病、犬瘟熱、犬細小、貓瘟等疾病，都能透過完整的疫苗程序大幅降低感染風險。定期追蹤追加疫苗是預防這些高致死率疾病的關鍵。,寵物常見疾病與預防
PC210,日常要怎麼預防寵物生病？,PCA210,日常預防包括均衡飲食、保持運動量、定期驅蟲與疫苗接種、維持口腔與皮膚清潔、提供乾淨飲水與安全環境，並定期健康檢查。最重要的是飼主需細心觀察，當寵物出現食慾、行為或排泄異常時，應立即就醫。,寵物常見疾病與預防
PC211,寵物為什麼需要運動？,PCA211,運動能幫助消耗體力、保持體態、促進心肺與關節健康，同時還能刺激腦部發展，降低焦慮與破壞行為。缺乏運動的寵物容易肥胖，也可能因壓力過大出現吠叫、抓咬家具等問題。,寵物運動與遊戲
PC212,狗狗每天需要多少運動量？,PCA212,依品種與體型而異，小型犬每天至少 20–30 分鐘散步，中大型犬則需要 60 分鐘以上活動，牧羊犬或哈士奇等高能量犬種甚至需要 2 小時以上的戶外活動，才能消耗足夠精力。,寵物運動與遊戲
PC213,貓咪也需要運動嗎？,PCA213,需要。雖然貓咪多數時間在睡覺，但牠們仍需透過遊戲來模擬狩獵行為。每日安排 10–15 分鐘的互動遊戲（逗貓棒、滾動小球）可維持肌肉健康並減少肥胖。,寵物運動與遊戲
PC214,有哪些適合狗狗的遊戲？,PCA214,常見遊戲包括接球、拔河、嗅聞尋找零食、游泳與敏捷訓練。這些遊戲能滿足狗狗的探索慾望與運動需求，同時也能強化飼主與狗狗之間的互動關係。,寵物運動與遊戲
PC215,有哪些適合貓咪的遊戲？,PCA215,逗貓棒、羽毛玩具、滾動小球、隧道、益智餵食器都是貓咪喜歡的遊戲。重要的是模擬「捕獵循環」（潛行→追逐→撲抓→滿足），讓貓咪發洩天性並獲得心理滿足。,寵物運動與遊戲
PC216,下雨天或室內空間有限，怎麼讓狗狗活動？,PCA216,可以利用走廊或客廳進行拔河、藏食遊戲、學習新指令，或使用跑步機讓狗狗運動。還能設計室內障礙路線（如椅子、靠墊）讓狗狗穿越，刺激身體與大腦。,寵物運動與遊戲
PC217,益智玩具對寵物有幫助嗎？,PCA217,有。益智玩具能讓寵物動腦思考，獲得食物獎勵，既能減少無聊，也能改善焦慮行為。尤其對需要長時間獨處的寵物來說，益智玩具是重要的心理刺激來源。,寵物運動與遊戲
PC218,老年寵物適合什麼運動？,PCA218,老年寵物仍需要運動，但強度需降低。散步應改為短距離多次，避免劇烈奔跑與跳躍；游泳是非常好的低衝擊運動，能強化肌肉又不傷關節。,寵物運動與遊戲
PC219,運動過度會有危險嗎？,PCA219,會。若運動過度可能導致中暑、肌肉拉傷、關節損傷或心臟問題。應依寵物的年齡、健康狀況與品種調整運動量，運動中若出現喘不過氣或行動遲緩，應立即休息。,寵物運動與遊戲
PC220,如何透過遊戲增進飼主與寵物的感情？,PCA220,遊戲不僅能消耗體力，更是建立信任的重要方式。透過接球、拔河或逗貓互動，飼主能讓寵物感受到陪伴與快樂；遊戲時應使用正向鼓勵，避免責罵或強迫，讓寵物覺得與主人相處是快樂的事。,寵物運動與遊戲
PC221,狗狗喜歡亂吠叫怎麼辦？,PCA221,先找出吠叫原因，可能是警戒、無聊、焦慮或想要關注。處理方式包括增加日常運動消耗精力、遮蔽窗外刺激、用「安靜」口令搭配獎勵訓練，避免在狗狗吠叫時給予注意或食物，以免強化行為。,寵物常見行為矯正
PC222,貓咪亂抓家具怎麼解決？,PCA222,貓咪抓東西是本能，需要釋放。解決方式是提供合適的抓板或貓樹，並放置在牠常抓的地方，當牠使用時給予獎勵；同時在家具上貼雙面膠或保護膜降低吸引力，逐漸引導到正確位置。,寵物常見行為矯正
PC223,狗狗會撲人，要如何矯正？,PCA223,撲人通常是為了打招呼或博取注意。當狗狗撲人時應立即轉身忽視，不要推開牠，等牠四腳著地再給獎勵。可同時訓練「坐下」作為替代行為，讓牠學會用安靜方式迎接主人。,寵物常見行為矯正
PC224,貓咪咬人怎麼辦？,PCA224,貓咪咬人可能是因為過度刺激或把手當玩具。避免用手直接與貓咪玩耍，改用逗貓棒、玩具分散注意力。若出現咬人傾向，應觀察牠是否有壓力或疼痛，必要時就醫檢查。,寵物常見行為矯正
PC225,狗狗會護食怎麼改善？,PCA225,護食是資源保護本能。矯正方式是逐步建立信任：在牠吃飯時偶爾添加美味食物，讓牠習慣人靠近時有好事發生；避免直接搶食，並訓練「給我」或「放下」口令。嚴重護食應在專業訓練師指導下進行。,寵物常見行為矯正
PC226,寵物會亂尿尿怎麼辦？,PCA226,首先排除是否有泌尿道疾病。若是行為問題，需重新建立定點如廁習慣：在正確位置排泄時給予獎勵，錯誤地點則立即清理氣味，避免殘留。貓咪的話要確保貓砂盆數量足夠且保持乾淨。,寵物常見行為矯正
PC227,狗狗會咬家具或鞋子，該怎麼辦？,PCA227,通常是無聊、長牙或焦慮。應提供適合的咬咬玩具或益智玩具轉移注意力，並增加陪伴與運動時間。若已咬錯物品，應冷靜制止並給予正確替代物。,寵物常見行為矯正
PC228,寵物分離焦慮怎麼解決？,PCA228,分離焦慮表現為獨處時吠叫、破壞或排泄異常。矯正方式是循序漸進練習獨處，先短暫離開幾分鐘，逐步延長時間，並提供安撫玩具或帶有主人味道的物品。必要時可與獸醫討論行為治療或藥物輔助。,寵物常見行為矯正
PC229,貓咪半夜吵鬧怎麼辦？,PCA229,貓咪屬夜行性，但過度吵鬧多與精力過剩或發情有關。解決方式是睡前多陪牠玩耍消耗體力，並提供益智餵食器延長進食時間。若是因發情導致，建議考慮結紮。,寵物常見行為矯正
PC230,狗狗會撿路邊東西吃，如何矯正？,PCA230,這是危險行為，可能誤食毒物。矯正方式是訓練「放下」與「不要碰」口令，在散步時使用短牽繩控制，當狗狗嘗試撿東西時立即制止，並在遵從指令後給予獎勵，以建立良好習慣。,寵物常見行為矯正
PC231,寵物與小孩的相處,PCA231,研究顯示，與寵物共同成長的小孩在情感發展、責任感培養與同理心建立上都有正面影響。同時，與寵物互動能幫助小孩釋放壓力，甚至降低焦慮感與孤獨感。,寵物與小孩的相處
PC232,寵物對小孩會有健康上的風險嗎？,PCA232,可能存在過敏、抓咬傷或人畜共通疾病（如弓形蟲、狂犬病）的風險。只要定期驅蟲、接種疫苗、保持環境清潔並教導小孩正確互動方式，就能大幅降低風險。,寵物與小孩的相處
PC233,小孩應該幾歲開始可以和寵物互動？,PCA233,一般建議三歲以上的小孩比較能理解「溫柔觸摸」與「尊重界限」。年紀更小的孩子也能接觸寵物，但必須全程由大人監護，避免拉尾巴、戳眼睛等可能引起寵物攻擊的行為。,寵物與小孩的相處
PC234,如何教小孩正確對待寵物？,PCA234,要讓小孩學會用輕柔的手勢撫摸，不要大喊大叫或追逐寵物，並理解寵物需要安靜的空間。可以用遊戲方式教導，例如讓小孩當「小飼主」協助準備食物或換水，培養尊重與責任感。,寵物與小孩的相處
PC235,怎麼避免寵物傷害小孩？,PCA235,首先要確保寵物的性情穩定，並進行基礎訓練。避免在寵物進食或睡覺時讓小孩打擾，同時給寵物設置一個「安全空間」，當牠想休息時可以自行退避。,寵物與小孩的相處
PC236,小孩與寵物玩耍時要注意什麼？,PCA236,必須全程由大人監護，避免粗暴的動作或危險玩具。應安排安全的互動方式，例如丟球讓狗狗撿回、使用逗貓棒與貓咪互動，而不是直接用手與寵物接觸過於激烈的遊戲。,寵物與小孩的相處
PC237,小孩若被寵物抓傷或咬傷該怎麼辦？,PCA237,立即用清水和肥皂徹底清洗傷口，並用消毒液處理；若傷口嚴重或寵物疫苗未完整接種，應立即就醫，必要時接種破傷風與狂犬病疫苗。事後也要檢討原因，避免相同情況再發生。,寵物與小孩的相處
PC238,寵物的毛會影響小孩健康嗎？,PCA238,部分小孩可能對寵物毛髮或皮屑過敏，症狀包括打噴嚏、咳嗽或皮膚搔癢。可以透過定期梳毛、清潔家中環境、使用空氣清淨機來降低影響。若症狀嚴重，需考慮醫師建議與生活環境調整。,寵物與小孩的相處
PC239,寵物會影響小孩的免疫力嗎？,PCA239,有研究指出，與寵物共同生活的小孩在早期接觸到一定量的微生物，有助於免疫系統發展，甚至能降低過敏與氣喘的發生率。不過，前提是寵物健康且環境衛生維持良好。,寵物與小孩的相處
PC240,如何讓小孩與寵物建立深厚的情感？,PCA240,透過日常參與照顧，如餵食、梳毛、帶散步，讓小孩感受到自己對寵物的重要性。同時鼓勵小孩用溫柔的語氣與寵物說話，並透過遊戲或訓練建立互信，這樣能讓小孩與寵物之間形成長久的情感連結。,寵物與小孩的相處
PC241,家裡有寵物怎麼保持整潔？,PCA241,應建立固定的清潔習慣，例如每天清理寵物毛髮、每週徹底吸塵，並定期洗滌寵物的床墊、毯子與玩具。使用 HEPA 濾網的吸塵器能有效過濾細小毛屑，搭配空氣清淨機能保持空氣清新。,寵物居家清潔與衛生
PC242,寵物掉毛怎麼處理？,PCA242,每天梳毛能減少散落的毛髮，並促進血液循環。換季掉毛特別嚴重時，可使用專用除毛刷、黏毛滾筒或吸毛機。家具和衣物可用靜電除毛刷或專用洗衣袋處理。,寵物居家清潔與衛生
PC243,家裡有寵物會有異味，怎麼解決？,PCA243,應保持環境通風，定期清洗寵物廁所、籠子與睡墊。使用中性清潔劑或專用除臭噴霧，避免含氨清潔劑以免刺激寵物。貓砂需每日清理，並每週更換整盆。,寵物居家清潔與衛生
PC244,寵物的餐具要多久清洗一次？,PCA244,建議每天清洗一次，並使用溫水與中性洗劑，避免油垢或細菌殘留。水碗應每日更換乾淨水，並同時清潔碗具以防止黴菌或生物膜滋生。,寵物居家清潔與衛生
PC245,寵物上沙發或床會影響衛生嗎？,PCA245,會。寵物毛髮、皮屑和泥土容易殘留在布料上。可使用專用沙發布或毛毯保護，並定期清洗；若希望減少接觸，應建立規矩讓寵物僅使用自己的床墊。,寵物居家清潔與衛生
PC246,如何處理寵物意外排泄？,PCA246,應立即用紙巾或布擦拭，再用酵素型清潔劑分解尿液中的蛋白質，避免殘留氣味吸引寵物再次在相同地點排泄。切勿僅用漂白水，因為寵物仍能嗅出氣味。,寵物居家清潔與衛生
PC247,寵物玩具需要清洗嗎？,PCA247,需要。布製玩具建議每週用溫和洗劑清洗一次，塑膠或橡膠玩具可用清水沖洗並自然晾乾。清潔不僅能減少異味，也能預防細菌滋生。,寵物居家清潔與衛生
PC248,寵物廁所要多久清理一次？,PCA248,狗狗尿墊應每日更換，貓砂則建議每天鏟除排泄物，每週或依產品建議更換整盆。若環境不潔，容易導致寵物抗拒如廁或出現泌尿道疾病。,寵物居家清潔與衛生
PC249,如何減少家中過敏源？,PCA249,除了定期清潔毛髮外，建議使用 HEPA 空氣清淨機、每週清洗床單被套、避免讓寵物進入臥室。對過敏體質的飼主，可以與醫師討論是否需要額外過敏治療。,寵物居家清潔與衛生
PC250,有哪些清潔用品對寵物安全？,PCA250,選擇中性或專為寵物設計的清潔劑，避免含有氨水、氯、苯酚等強烈化學成分，因為這些成分對寵物的皮膚、呼吸道甚至肝腎有潛在危害。建議清潔後徹底沖洗乾淨並保持通風。,寵物居家清潔與衛生
PC251,寵物誤食塑膠、布料或玩具怎麼辦？,PCA251,不要嘗試用手硬拉，因為可能造成喉嚨或腸道受傷。應立即觀察是否有嘔吐、腹痛、食慾不振或便秘等症狀，並盡快送醫做 X 光或超音波檢查。異物可能需要內視鏡或手術移除，延誤會導致腸阻塞甚至腸穿孔。,寵物緊急狀況處理
PC252,寵物跌落高處後該怎麼處理？,PCA252,跌落後可能造成骨折、內出血或胸腔損傷。應避免隨意搬動，若必須移動，盡量保持身體平直並用硬板托運。送醫前觀察是否有呼吸急促、牙齦蒼白或失去意識，這些都是危險徵兆。,寵物緊急狀況處理
PC253,寵物被其他動物咬傷怎麼辦？,PCA253,動物咬傷容易引起深層感染。應立即用清水或生理食鹽水沖洗傷口，避免使用雙氧水過度刺激，並用紗布包紮止血。即使傷口不大，也應就醫，因為咬傷常伴隱藏性膿腫或破傷風風險。,寵物緊急狀況處理
PC254,寵物指甲折斷或出血怎麼辦？,PCA254,若斷裂導致出血，可用止血粉或麵粉輕壓止血，再用紗布包覆。避免讓寵物舔咬傷口，以免感染。若斷裂處過深或反覆出血，應由獸醫修整並處理，避免甲床感染,寵物緊急狀況處理
PC255,寵物眼睛突然紅腫流淚怎麼辦？,PCA255,可能是異物、角膜潰瘍或急性青光眼。可先用生理食鹽水輕柔沖洗異物，但若眼睛持續紅腫或分泌物增多，應立即送醫，因為角膜潰瘍惡化很快，延誤可能導致永久失明。,寵物緊急狀況處理
PC256,寵物耳朵突然流膿或甩頭不停怎麼處理？,PCA256,這可能是耳炎或耳血腫。不要自行用棉花棒深入耳道，以免推擠更深。可先用濕布清理外耳分泌物，並戴上頭套防止抓耳，接著送醫檢查耳道，必要時做耳鏡檢查與藥物治療。,寵物緊急狀況處理
PC257,寵物被蜜蜂或昆蟲螫到怎麼辦？,PCA257,若有毒針殘留，用鑷子或信用卡邊緣輕輕刮除，再用冷敷減輕腫脹。若寵物出現呼吸困難、臉部快速腫脹、全身無力，可能是過敏性休克，應立即送醫。,寵物緊急狀況處理
PC258,寵物抽筋但不是癲癇怎麼處理？,PCA258,抽筋可能來自電解質不平衡、肌肉痙攣或中毒。應先讓寵物安靜休息，避免觸碰抽搐部位，以免受傷。觀察是否伴隨嘔吐、虛弱或失去意識，並盡快就醫做血液檢查，確認是否需要補液或矯正電解質。,寵物緊急狀況處理
PC259,寵物尾巴或四肢被夾傷怎麼辦？,PCA259,夾傷可能造成骨折或神經損傷。應先檢查是否有出血，若有則加壓止血，再輕輕固定患肢，避免寵物自行舔咬。即使外表無明顯出血，也可能有骨折或神經受損，仍需送醫做影像學檢查。,寵物緊急狀況處理
PC260,寵物突然呼吸困難該怎麼辦？,PCA260,呼吸困難可能來自哽塞、哮喘、胸腔積液或心臟病。此時不要強迫餵食或灌水，應保持安靜與通風，避免過度搬動，盡快送往動物醫院。若寵物完全無法呼吸，可在送醫途中依照正確方式實施 CPR。,寵物緊急狀況處理
PC261,多久要幫寵物梳毛？,PCA261,短毛犬貓可每週 2–3 次，長毛品種則最好每天梳理。梳毛能減少掉毛、避免毛球或毛打結，並促進血液循環。建議使用適合毛長的梳子，例如針梳、排梳或脫毛梳。,寵物日常照護小技巧
PC262,幫寵物洗澡的頻率應該多久一次？,PCA262,狗狗一般建議每 3–4 週洗一次，長毛或有皮膚問題的狗可能需要更頻繁；貓咪通常不需要定期洗澡，除非特別髒或有皮膚病。洗澡時應使用專用寵物沐浴乳，避免用人類洗髮精。,寵物日常照護小技巧
PC263,指甲要多久修剪一次？,PCA263,平均每 3–4 週修剪一次，觀察指甲是否過長以致走路時會發出「喀喀」聲或卡到地板。修剪時要避開血線（粉紅色區域），若不小心剪到出血，可用止血粉或玉米粉止血。,寵物日常照護小技巧
PC264,耳朵需要清潔嗎？,PCA264,需要。建議每 2–4 週檢查一次耳朵，若有耳垢或異味，可用專用耳液滴入後輕柔按摩耳根，再用棉球擦拭外耳。不要用棉花棒深入耳道，以免推擠耳垢或傷害耳膜。,寵物日常照護小技巧
PC265,寵物的牙齒要怎麼保養？,PCA265,最有效的方法是刷牙，建議每週至少 2–3 次，使用寵物專用牙刷與牙膏。可搭配潔牙零食或潔牙玩具減少牙垢。定期獸醫洗牙能有效預防牙周病與口臭。,寵物日常照護小技巧
PC266,寵物的眼睛需要特別照護嗎？,PCA266,應定期檢查是否有分泌物或紅腫。輕微分泌物可用溫水或無刺激的眼部清潔液擦拭。淚痕可用專用濕紙巾清理。若出現大量分泌物或持續紅腫，應盡快就醫。,寵物日常照護小技巧
PC267,如何保持寵物的腳掌清潔？,PCA267,外出回家後，應用濕紙巾或溫水擦拭腳掌，保持乾淨，避免泥土與細菌殘留。若腳毛過長，可修剪腳墊周圍毛髮以減少打滑與細菌滋生。,寵物日常照護小技巧
PC268,寵物的床墊多久要清洗一次？,PCA268,建議至少每 1–2 週清洗一次，使用中性洗劑或專用清潔劑，並徹底晾乾避免黴菌滋生。若寵物有皮膚病，建議更頻繁更換與消毒。,寵物日常照護小技巧
PC269,怎麼正確清潔寵物的用品？,PCA269,食盆和水碗應每天清洗，玩具則依材質分別清潔（布製可機洗、橡膠製可溫水清洗）。建議使用中性清潔劑或寵物專用產品，避免殘留化學物質。,寵物日常照護小技巧
PC270,日常照護有哪些小秘訣？,PCA270,建立固定的清潔習慣，例如「每天梳毛＋清理水碗、每週修剪指甲或檢查耳朵、每月洗澡或全面清潔用品」。透過日常小動作，不僅能保持寵物健康，也能增進飼主與寵物的互動關係。,寵物日常照護小技巧
PC271,貓咪都會喝牛奶嗎？,PCA271,這是迷思。許多成年貓咪缺乏乳糖酶，喝牛奶會造成腹瀉與腸胃不適。若要補充，可以選擇市售專為貓咪設計的低乳糖或無乳糖寵物奶粉。,寵物飼養常見迷思破解
PC272,狗狗吃大蒜能驅蟲嗎？,PCA272,錯誤。大蒜對狗狗（以及貓咪）有毒，會破壞紅血球造成貧血。驅蟲應使用獸醫推薦的專用藥物，而不是人類的食材或偏方。,寵物飼養常見迷思破解
